Significance,Days to go,Dates,Event Title,City,Country,Weblink,Organiser,Attending,Participants,Participation,Status,Calendar,Region,Type of Event,Global - Business Trip Debriefs,Industry/Sector,Blockchain Ecosystem
,-427,29/03/2022 → 31/03/2022,ETHDubai 2022,Dubai,UAE,https://www.ethdubaiconf.org/,,Yes,"Tak Lee, Arvind, Shubham Jain, Irshad Ahmed",4,Attended,Yes,Middle-east,"Conference, Hackathon",,,
,-296,07/08/2022 → 12/08/2022,Korea Blockchain Week 2022,Seoul,Korea,https://koreablockchainweek.com/,,Yes,"Tak Lee, Arvind, Shubham Jain, Irshad Ahmed, Sharanya Sahai, Pranay, Deep, Vishal Achanta, Karthik Selvaraj, Ayush Ghiya",10,Attended,Yes,Korea,,,,
,-250,22/09/2022 → 25/09/2022,ETHSafari 2022,Kilifi,Kenya,https://ethsafari.xyz/,,Yes,"Tak Lee, Shubham Jain, Deep",3,Attended,Yes,Africa,,,,
,-246,26/09/2022 → 03/10/2022,Token2049 SG 2022,Singapore,Singapore,https://www.asia.token2049.com/,,Yes,"Tak Lee, Pranay, Gaurav Gandhi, Shubham Jain, Deep, Irshad Ahmed, Karthik Selvaraj, Arvind, Vishal Achanta",9,Attended,Yes,Southeast Asia,,,,
,-208,03/11/2022 → 04/11/2022,IGDC 2022,Hyderabad,India,https://www.indiagdc.com/,,Yes,"Shubham Jain, Arvind, Pranay, Ayush Ghiya, Irshad Ahmed",5,Attended,Yes,India,,,,
,-197,14/11/2022 → 18/11/2022,Abu Dhabi Finance Week 2022,Abu Dhabi,UAE,https://www.adgm.com/events/abudhabifinanceweek,,Yes,"Shubham Jain, Pranay, Vishal Achanta, Gaurav Gandhi",4,Attended,Yes,Middle-east,,,,
,-117,02/02/2023,Singapore Blockchain Week,Singapore,Singapore,https://blockchainweek.com.sg/,,No,,,,No,Southeast Asia,Conference,,Pan-Industry,Blockchain Agnostic
,-113,06/02/2023 → 09/02/2023,LEAP 2023,Riyadh,Saudi Arabia,https://www.onegiantleap.com/en/home.html,,No,,,,Yes,Middle-east,Conference,,Pan-Industry,Blockchain Agnostic
,-112,07/02/2023,BSV 2023,Riyadh,Saudi Arabia,https://bsvblockchain.org/events/blockchain-for-saudi-vision-2030-riyadh-summit/,,No,,,,Yes,Middle-east,Conference,,Pan-Industry,Blockchain Agnostic
,-104,15/02/2023 → 16/02/2023,Fintech & Crypto Summit Bahrain 2023,Manama,Bahrain,https://cryptosummitbahrain.com/,,No,,,,Yes,Middle-east,Conference,,Finance,Blockchain Agnostic
,-103,16/02/2023 → 17/02/2023,Blockchain Fest 2023,Singapore,Singapore,https://blockchain-fest.asia/,Bybit,No,,,,Yes,Southeast Asia,Conference,,Pan-Industry,Blockchain Agnostic
,-89,02/03/2023 → 05/03/2023,ETHDenver 2023,Denver,USA,https://www.ethdenver.com/,,No,,,,Yes,USA,Hackathon,,Pan-Industry,ETH
,-85,06/03/2023 → 07/03/2023,Global Blockchain Congress 2023,Dubai,UAE,https://gbc-uae.com/,,No,,,,Yes,Middle-east,Conference,,Pan-Industry,Blockchain Agnostic
,-83,08/03/2023 → 09/03/2023,Blockchain Economy Dubai 2023,Dubai,UAE,https://beconomydubai.com/,,No,,,,Yes,Middle-east,Conference,,Pan-Industry,Blockchain Agnostic
,-83,08/03/2023 → 09/03/2023,Crypto Expo Dubai 2023,Dubai,UAE,https://cryptoexpodubai.com/,,No,,,,Yes,Middle-east,Conference,,Pan-Industry,Blockchain Agnostic
,-78,13/03/2023 → 16/03/2023,AIBC EURASIA 2023,Dubai,UAE,https://aibc.world/eurasia/,,No,,,,Yes,Middle-east,Conference,,Pan-Industry,Blockchain Agnostic
,-76,15/03/2023,[TBD] Web3con,Singapore,Singapore,https://www.web3con.info/,,No,,,,No,Southeast Asia,Conference,,Pan-Industry,Blockchain Agnostic
,-76,15/03/2023 → 16/03/2023,ETHDubai 2023,Dubai,UAE,https://www.ethdubaiconf.org/,,Yes,,,,Yes,Middle-east,Conference,,Pan-Industry,ETH
,-75,16/03/2023 → 17/03/2023,NFT Paris 2023,Paris,France,https://www.nftparis.xyz/,,No,,,,Yes,Europe,Conference,,NFTs,Blockchain Agnostic
,-75,16/03/2023 → 17/03/2023,Blockchain Africa Conference 2023,Johannesburg,South Africa,https://blockchainafrica.co/,,No,,,,Yes,Africa,Conference,,Pan-Industry,Blockchain Agnostic
,-75,16/03/2023 → 17/03/2023,World Economic Forum 2023,Davos,Switzerland,https://www.weforum.org/events/world-economic-forum-annual-meeting-2023,,No,,,,Yes,Europe,Conference,,Pan-Industry,Blockchain Agnostic
,-71,20/03/2023 → 24/03/2023,GDC,San Francisco,USA,https://gdconf.com/?_mc=sem_gdcsf_sem_gdcsf_attnd_tspr_google_brnd-glbl_2023&utm_source=google&utm_medium=sem_&utm_campaign=brnd-glbl&utm_content=attnd_&gclid=Cj0KCQiA_P6dBhD1ARIsAAGI7HBr5pPoCYz3ceZZThmcwiUjHOCiqAvsgdIKxVwEeUDWQ_mbnYf22qMaAvmpEALw_wcB,,No,,,,Yes,USA,Conference,,Gaming,Blockchain Agnostic
,-71,20/03/2023 → 21/03/2023,World Blockchain Summit Dubai 2023,Dubai,UAE,https://www.worldblockchainsummit.com/events/dubai-mar-23,,No,,,,Yes,Middle-east,Conference,,Pan-Industry,Blockchain Agnostic
,-71,20/03/2023 → 24/03/2023,Paris Blockchain Week 2023,Paris,France,https://www.parisblockchainweek.com/,,No,,,,Yes,Europe,Conference,,Pan-Industry,Blockchain Agnostic
,-63,28/03/2023,DAO Tokyo 2023,Tokyo,Japan,https://dao-tokyo.xyz/,Fracton,No,,,,Yes,Southeast Asia,Conference,,Pan-Industry,Blockchain Agnostic
,-48,12/04/2023 → 14/04/2023,NFT.NYC,New York,USA,https://www.nft.nyc/,,No,,,,Yes,USA,Conference,,NFTs,Blockchain Agnostic
,-46,14/04/2023 → 16/04/2023,ETHGlobal Tokyo Hackathon 2023,Tokyo,Japan,https://tokyo.ethglobal.com/,ETHGlobal,No,,,,Yes,Southeast Asia,Hackathon,,Pan-Industry,ETH
,-34,26/04/2023 → 28/04/2023,Consensus 2023,Austin,USA,https://consensus.coindesk.com/,CoinDesk,No,,,,Yes,USA,Conference,,Pan-Industry,Blockchain Agnostic
,-27,03/05/2023 → 05/05/2023,Avalanche Summit II,Barcelona,Spain,https://www.avalanchesummit.com/,,No,,,,Yes,Europe,Conference,,Pan-Industry,Avalanche
,-27,03/05/2023,Crypto Asean 2023,Jakarta,Indonesia,https://www.blackarrowconferences.com/cryptoasean2023.html,,No,,,,No,Southeast Asia,Conference,,Pan-Industry,Blockchain Agnostic
,-21,09/05/2023 → 12/05/2023,EY Global Blockchain Summit,London,UK,https://web.cvent.com/event/c066d44d-4e50-4d7e-b6fb-3cc0abdae7ff/websitePage:34e89f81-7647-4dff-b5f8-cd05d75a1ea7,,No,,,,Yes,UK,Conference,,Pan-Industry,Blockchain Agnostic
,-20,10/05/2023 → 12/05/2023,Future Blockchain Summit 2023,Dubai,UAE,https://www.futureblockchainsummit.com/#popup1,,No,,,,Yes,Middle-east,Conference,,Pan-Industry,Blockchain Agnostic
,-12,18/05/2023 → 20/05/2023,Bitcoin 2023,Miami,USA,https://b.tc/conference/,,No,,,,Yes,USA,Conference,,Pan-Industry,Bitcoin
,-9,21/05/2023 → 22/05/2023,ETHDam,Amsterdam,Netherlands,https://www.ethdam.com/,,No,,,,Yes,Europe,Hackathon,,Pan-Industry,ETH
,-9,21/05/2023,[TBD] Techpoint Africa Blockchain Summit,Ikeja,Nigeria,https://blockchain.techpoint.africa/,,No,,,,Yes,Africa,Conference,,Pan-Industry,Blockchain Agnostic
,-8,22/05/2023 → 23/05/2023,GamesBeat Summit,San Francisco,USA,https://events.venturebeat.com/gamesbeat-summit-2023/,,No,,,,Yes,USA,Conference,,Gaming,Blockchain Agnostic
,-1,29/05/2023,,,,,,No,,,,No,,,,,
,1,01/06/2023 → 02/06/2023,Crypto Valley Conference,Rotkreuz,Switzerland,https://www.cryptovalleyconference.com/,,No,,,,Yes,Europe,Conference,,Pan-Industry,Blockchain Agnostic
,1,01/06/2023 → 02/06/2023,World Metaverse Show Saudi Arabia 2023,,Saudi Arabia,https://www.worldblockchainsummit.com/events/ksa-jun-23,,No,,,,Yes,Middle-east,Conference,,Pan-Industry,Blockchain Agnostic
,2,02/06/2023 → 04/06/2023,ETHSeoul,Seoul,Korea,https://2023.ethseoul.org/,,No,,,,No,Korea,Hackathon,,Pan-Industry,ETH
,6,06/06/2023 → 07/06/2023,BUIDL Asia,Seoul,Korea,https://www.buidl.asia/,,No,,,,Yes,Korea,Conference,,Pan-Industry,Blockchain Agnostic
,7,07/06/2023 → 08/06/2023,CryptoExpo Asia 2023,Singapore,Singapore,https://cryptoexpoasia.com/,,No,,,,Yes,Southeast Asia,Conference,,Pan-Industry,Blockchain Agnostic
,9,09/06/2023 → 11/06/2023,ETH Prague,Prague,Czech Republic,https://ethprague.com/,,No,,,,No,Europe,Hackathon,,Pan-Industry,ETH
,18,18/06/2023 → 09/07/2023,Japan Blockchain Week,,Japan,https://japanblockchainweek.jp/,,No,,,,Yes,Southeast Asia,Conference,,Pan-Industry,Blockchain Agnostic
,23,23/06/2023 → 25/06/2023,ETHGlobal Waterloo,Waterloo,Canada,https://ethglobal.com/events/waterloo2023,,No,,,,Yes,North America,Hackathon,,Pan-Industry,ETH
,28,28/06/2023 → 30/06/2023,Blockchance,Hamburg,Germany,https://blockchance.eu/,,No,,,,Yes,Europe,Conference,,Pan-Industry,Blockchain Agnostic
,35,05/07/2023 → 07/07/2023,ETHBarcelona 2023,Barcelona,Spain,https://ethbarcelona.com/,,No,,,,Yes,Europe,Hackathon,,Pan-Industry,ETH
,36,06/07/2023 → 08/07/2023,GM Vietnam,,Vietnam,https://gmvietnam.io/,,No,,,,Yes,Southeast Asia,Conference,,Pan-Industry,Blockchain Agnostic
,39,09/07/2023,[TBD] Blockchain Vibes,Lagos,Nigeria,https://internationalblockchainsummit.org/#,,No,,,,Yes,Africa,Conference,,Pan-Industry,Blockchain Agnostic
,47,17/07/2023 → 20/07/2023,ETHCC Paris 2023,Paris,France,https://ethcc.io/,,No,,,,Yes,Europe,Conference,,Pan-Industry,ETH
,53,23/07/2023,[TBD] Conquest 2023,Pasay,Philippines,https://www.conquestph.com/,,No,,,,Yes,Southeast Asia,Conference,,Gaming,Blockchain Agnostic
,55,25/07/2023 → 26/07/2023,WebX Asia Blockchain,Tokyo,Japan,https://webx-asia.com/,,No,,,,Yes,Southeast Asia,Conference,,Pan-Industry,Blockchain Agnostic
,56,26/07/2023,[TBD] Singapore Blockchian Week 2023,Singapore,Singapore,https://blockchainweek.com.sg/,,No,,,,No,Southeast Asia,Conference,,Pan-Industry,Blockchain Agnostic
,65,04/08/2023,[TBD] Bali Blockchain Conference 2023,Bali,Indonesia,https://www.favourse.com/event/,,No,,,,Yes,Southeast Asia,Conference,,Pan-Industry,Blockchain Agnostic
,70,09/08/2023 → 10/08/2023,World Blockchain Summit Bali 2023,Bali,Indonesia,https://www.worldblockchainsummit.com/events/bali-sept-23,,No,,,,Yes,Southeast Asia,Conference,,Pan-Industry,Blockchain Agnostic
,72,11/08/2023 → 14/08/2023,Web3Conf India,Goa,India,https://web3confindia.xyz/,,No,,,,Yes,India,Conference,,Pan-Industry,Blockchain Agnostic
,73,12/08/2023 → 13/08/2023,Money Expo India,Mumbai,India,https://moneyexpoindia.com/mumbai,,No,,,,Yes,India,Conference,,Investment,Blockchain Agnostic
,74,13/08/2023 → 16/08/2023,ETH Toronto,Toronto,Canada,https://www.ethtoronto.ca/,,No,,,,Yes,North America,Hackathon,,Pan-Industry,ETH
,86,25/08/2023,[TBD] Coinfest Asia,Bali,Indonesia,https://coinfest.asia/,,No,,,,Yes,Southeast Asia,Conference,,Pan-Industry,Blockchain Agnostic
,87,26/08/2023,[TBD] Unfold by CoinDCX 2023,Bengaluru,India,https://www.unfold2022.com/,,No,,,,No,India,"Conference, Hackathon",,Pan-Industry,Blockchain Agnostic
,93,01/09/2023 → 03/09/2023,EthCON Korea,Seoul,Korea,https://ethcon.kr/,,No,,,,Yes,Korea,"Conference, Hackathon",,Pan-Industry,ETH
,94,02/09/2023 → 03/09/2023,Bitcoin Crypto Expo,Mumbai,India,https://www.eventbrite.com/e/india-expo-integrity-events-limited-tickets-360420245657?aff=ebdssbdestsearch&keep_tld=1,,No,,,,Yes,India,Conference,,Pan-Industry,Blockchain Agnostic
,96,04/09/2023 → 09/09/2023,Korea Blockchain Week 2023,Seoul,Korea,https://koreablockchainweek.com/,,Yes,,,,Yes,Korea,Conference,,Pan-Industry,Blockchain Agnostic
,102,10/09/2023 → 12/09/2023,Ethereum Singapore 2023,Singapore,Singapore,https://www.ethereumsingapore.com/,,No,,,,Yes,Southeast Asia,Conference,,Pan-Industry,ETH
,103,11/09/2023 → 13/09/2023,Permissionless 2023,Austin,USA,https://blockworks.co/event/permissionless-2023,"Bankless, Blockworks",No,,,,Yes,USA,Conference,,Pan-Industry,Blockchain Agnostic
,104,12/09/2023 → 13/09/2023,[TBD] Meta Week,Dubai,UAE,https://www.themetaweek.com/,,No,,,,Yes,Middle-east,Conference,,Pan-Industry,Blockchain Agnostic
,105,13/09/2023 → 14/09/2023,TOKEN2049 - SG  2023,Singapore,Singapore,https://www.asia.token2049.com/,,Yes,,,Tickets purchased,Yes,Southeast Asia,Conference,,Pan-Industry,Blockchain Agnostic
,106,14/09/2023 → 17/09/2023,Solana Hacker House Bengaluru,Bengaluru,India,https://solana.com/events/bengaluruhh,,No,,,,Yes,India,Conference,,Pan-Industry,Solana
,110,18/09/2023 → 24/09/2023,ETHSafari 2023,,Kenya,https://ethsafari.xyz/,,No,,,,Yes,Africa,Hackathon,,Pan-Industry,ETH
,112,20/09/2023 → 22/09/2023,Messari Mainnet,New York,USA,https://events.messari.io/mainnet2023,,No,,,,Yes,USA,Conference,,Pan-Industry,Blockchain Agnostic
,113,21/09/2023 → 24/09/2023,Solana Hacker House Mumbai,Mumbai,India,https://solana.com/events/mumbaihh,,No,,,,Yes,India,Conference,,Pan-Industry,Solana
,122,30/09/2023,[TBD] Crypto Fest,Cape Town,South Africa,https://cryptofest.co.za/,,No,,,,Yes,Africa,Conference,,Pan-Industry,Blockchain Agnostic
,124,02/10/2023 → 05/10/2023,Blockchain Economy Summit Dubai 2023,Dubai,UAE,https://beconomydubai.com/,,No,,,,Yes,Middle-east,Conference,,Pan-Industry,Blockchain Agnostic
,124,02/10/2023 → 03/10/2023,Africa Money and Defi Summit,Accra,Ghana,https://africamoneydefisummit.com/,,No,,,,Yes,Africa,Conference,,Finance,Blockchain Agnostic
,128,06/10/2023,[TBD] Thailand Crypto Expo 2023,Bangkok,Thailand,https://thailandcryptoexpo.com/,,No,,,,Yes,Southeast Asia,Conference,,Pan-Industry,Blockchain Agnostic
,129,07/10/2023 → 08/10/2023,DeGameFi International Web3 Conference 2023,Tbilisi,Georgia,https://degamefi.io/,,No,,,,Yes,Europe,Conference,,Pan-Industry,Blockchain Agnostic
,137,15/10/2023 → 18/10/2023,Future Blockchain Summit 2023,Dubai,UAE,https://www.futureblockchainsummit.com/,,No,,,,Yes,Middle-east,Conference,,Pan-Industry,Blockchain Agnostic
,138,16/10/2023 → 20/10/2023,Gitex 2023,Dubai,UAE,https://www.gitex.com/,,No,,,,Yes,Middle-east,Conference,,Pan-Industry,Blockchain Agnostic
,141,19/10/2023,[TBD] Vietnam Blockchain Summit 2023,Hanoi,Vietnam,https://vietnamblockchainsummit.com/,,No,,,,Yes,Southeast Asia,Conference,,Pan-Industry,Blockchain Agnostic
,147,25/10/2023 → 27/10/2023,[TBD] Domineum,Abuja,Nigeria,https://domineum.io/events/,,No,,,,Yes,Africa,Conference,,Pan-Industry,Blockchain Agnostic
,148,26/10/2023,[TBD] Global Blockchain Summit 2023,Balanga,Philippines,https://globalblockchainsummit.ph/,,No,,,,No,Southeast Asia,Conference,,Pan-Industry,Blockchain Agnostic
,149,27/10/2023 → 29/10/2023,ETH Miami,Miami,USA,https://ethmiami.net/,,No,,,,Yes,USA,Hackathon,,Pan-Industry,ETH
,149,27/10/2023 → 29/10/2023,ETHVietnam,Hanoi,Vietnam,,,No,,,,Yes,Southeast Asia,Hackathon,,Pan-Industry,ETH
,150,28/10/2023 → 30/10/2023,ETH Lisbon 2023,Lisbon,Portugal,https://www.ethlisbon.org/,,No,,,,Yes,Europe,Hackathon,,Pan-Industry,ETH
